name,description,suitableFor,risk,minAge,maxAge,minIncome,premiumFactor,taxBenefit
Family Floater Health Plan,"Comprehensive health coverage for entire family.","Health Security, Emergency Fund","Low",18,65,400000,0.05,"Sec 80D: ₹25K deduction"
Child Development Bond,"Bond with insurance that matures at child's key milestones.","Child Education, Wealth Creation","Low",21,65,600000,0.055,"Sec 80C: ₹1.5L deduction"
Key Person Insurance,"Covers business losses due to key employee's death.","Emergency Fund, Life Cover","High",25,65,1000000,0.15,"Sec 37(1): Business expense"
Whole Life Insurance,"Lifetime coverage with investment component.","Life Cover, Estate Planning, Wealth Creation","Medium",30,70,1500000,0.19,"Sec 80C: ₹1.5L deduction"
Reverse Mortgage Insurance,"Converts home equity into retirement income.","Retirement Planning, Emergency Fund","Low",62,90,0,0.021,"Not tax deductible"
Micro Insurance,"Low-cost coverage for low-income individuals.","Emergency Fund, Life Cover","Low",18,70,100000,0.0015,"Sec 80C: ₹50K deduction"
Family Legacy Trust,"Insurance-backed trust for multi-generational wealth transfer.","Estate Planning, Wealth Creation","Medium",40,80,1500000,0.15,"Sec 80C: ₹1.5L deduction"
Health Emergency Fund,"Dedicated fund for unexpected health emergencies.","Health Security, Emergency Fund","Medium",21,70,400000,0.04,"Sec 80D: ₹25K deduction"
Child Future Secure Plan,"Comprehensive plan for child's future financial needs.","Child Education, Wealth Creation","High",25,55,800000,0.12,"Sec 80C: ₹1.5L deduction"
Retirement Healthcare Plan,"Specialized health coverage for post-retirement.","Health Security, Retirement Planning","Low",45,80,500000,0.035,"Sec 80D: ₹50K deduction"
Wealth Transfer Bond,"Bond designed for efficient wealth transfer to next generation.","Estate Planning, Wealth Creation","Medium",40,85,1500000,0.11,"Sec 80C: ₹1.5L deduction"
Education Inflation Guard,"Education plan with inflation-adjusted payouts.","Child Education","High",21,70,700000,0.14,"Sec 80C: ₹1.5L deduction"
Retirement Income Annuity,"Guaranteed income for life post-retirement.","Retirement Planning","Low",50,80,1000000,0.08,"Sec 80C: ₹1.5L deduction"
Emergency Cash Reserve,"Liquid insurance plan for immediate cash needs.","Emergency Fund","Low",18,80,200000,0.02,"Sec 80C: ₹50K deduction"
Estate Equalization Plan,"Insurance to equalize inheritance among beneficiaries.","Estate Planning","Medium",40,75,1200000,0.09,"Sec 80C: ₹1.5L deduction"
Child Scholarship Plan,"Insurance that pays out for child's higher education.","Child Education","Medium",25,60,600000,0.06,"Sec 80C: ₹1.5L deduction"
Convertible Term Insurance,"Term policy convertible to whole life without medicals.","Life Cover, Tax Saving","Low, Medium",18,60,400000,0.006,"Sec 80C: ₹1.5L deduction"
Cancer Specific Plan,"Exclusive coverage for cancer treatment costs.","Health Security, Emergency Fund","Medium",18,70,350000,0.027,"Sec 80D: ₹25K deduction"
